,,,,,"TR = 30",,,"TR = 50",,,"TR = 72",,,"TR = 101",,,"TR = 140",,,"TR = 201",,,"TR = 475",,,"TR = 975",,,"TR = 2475",
"OBJECTID","ID","LON","LAT","T30ag","T30F0","T30Tc","T50ag","T50F0","T50Tc","T72ag","T72F0","T72Tc","T101ag","T101F0","T101Tc","T140ag","T140F0","T140Tc","T201ag","T201F0","T201Tc","T475ag","T475F0","T475Tc","T975ag","T975F0","T975Tc","T2475ag","T2475F0","T2475Tc"
69,15335,6.882075,44.65196,0.33988,2.4596,0.19843,0.43322,2.4855,0.21564,0.5146,2.4791,0.23216,0.59081,2.5041,0.2394,0.68474,2.4852,0.25164,0.79203,2.4926,0.2599,1.1141,2.4685,0.27616,1.4384,2.4689,0.2863,1.9379,2.4808,0.29853
70,9787,6.88558,45.90593,0.34361,2.3797,0.20613,0.45298,2.3832,0.23478,0.5449,2.4079,0.23944,0.64039,2.4224,0.25221,0.74875,2.4043,0.25986,0.88286,2.399,0.26502,1.2649,2.373,0.27811,1.6722,2.3425,0.28741,2.3808,2.2623,0.30459
71,12672,6.886634,45.25402,0.36211,2.4286,0.20362,0.47682,2.4183,0.22595,0.5667,2.4476,0.23022,0.66518,2.4457,0.24211,0.7692,2.4448,0.24699,0.89901,2.4437,0.25343,1.2484,2.4641,0.26514,1.5866,2.4994,0.27363,2.0882,2.5341,0.28835
72,15557,6.887546,44.60212,0.33726,2.4541,0.19785,0.4302,2.486,0.21527,0.5124,2.4747,0.23205,0.58938,2.4995,0.23942,0.68423,2.4795,0.25204,0.79311,2.4852,0.26041,1.1218,2.4577,0.27725,1.4546,2.455,0.28785,1.967,2.4715,0.29942
73,10009,6.891132,45.85609,0.33362,2.3935,0.20523,0.43426,2.4125,0.23418,0.5232,2.3998,0.24265,0.60856,2.4615,0.25204,0.71469,2.4447,0.25838,0.8393,2.4439,0.26366,1.2075,2.4039,0.27735,1.622,2.3375,0.28585,2.3084,2.26,0.30289
74,12894,6.892129,45.20417,0.36923,2.4323,0.2035,0.48741,2.4164,0.22607,0.578,2.4497,0.23018,0.68026,2.4418,0.24191,0.78485,2.4473,0.24638,0.91773,2.4417,0.253,1.2711,2.4664,0.26448,1.6105,2.5041,0.27325,2.113,2.5355,0.28735
75,15779,6.892954,44.55227,0.33437,2.4361,0.19726,0.42719,2.4858,0.21484,0.5107,2.4691,0.23182,0.58897,2.4936,0.23943,0.68593,2.471,0.25236,0.79742,2.4757,0.26077,1.1382,2.4426,0.27809,1.4859,2.4362,0.2892,2.0236,2.4572,0.3031
76,10231,6.896681,45.80624,0.32451,2.4075,0.20422,0.41682,2.4486,0.22339,0.5027,2.4146,0.2435,0.58309,2.4635,0.25295,0.68075,2.4617,0.26036,0.80411,2.4602,0.26282,1.1739,2.3873,0.2764,1.5754,2.3227,0.28475,2.2102,2.2859,0.29915
77,13116,6.897619,45.15433,0.37378,2.4363,0.2035,0.49292,2.4185,0.22615,0.5829,2.4544,0.23042,0.68578,2.4445,0.24197,0.78956,2.4526,0.24635,0.92226,2.446,0.25308,1.2743,2.4706,0.26467,1.6126,2.5076,0.27353,2.1141,2.5373,0.28756
78,16001,6.898415,44.50241,0.32844,2.4225,0.19952,0.42346,2.4723,0.21475,0.5087,2.459,0.23183,0.58866,2.4867,0.24405,0.68849,2.4607,0.25261,0.80421,2.4623,0.26093,1.1605,2.4249,0.27864,1.5292,2.4153,0.29036,2.1018,2.4497,0.30391
79,10453,6.902281,45.75639,0.31713,2.421,0.20315,0.40245,2.4825,0.22257,0.4856,2.4364,0.24306,0.56348,2.466,0.25257,0.65155,2.4747,0.25981,0.76263,2.4884,0.26558,1.0964,2.477,0.27467,1.4519,2.4382,0.28326,1.9889,2.4648,0.29661
80,13338,6.903133,45.10448,0.37585,2.4406,0.20353,0.49424,2.4234,0.22614,0.5831,2.4601,0.23058,0.68479,2.4506,0.24217,0.78739,2.4587,0.24663,0.91857,2.4519,0.25348,1.2676,2.4743,0.26524,1.6043,2.509,0.27411,2.1051,2.5381,0.28824
81,16223,6.903872,44.45256,0.31996,2.4326,0.19901,0.4126,2.4864,0.21362,0.5012,2.4413,0.23277,0.58418,2.4643,0.23876,0.68582,2.4392,0.2527,0.80525,2.4396,0.26107,1.1694,2.411,0.27886,1.5465,2.4141,0.28971,2.1431,2.4666,0.30482
82,10675,6.90782,45.70654,0.31194,2.4334,0.20125,0.39433,2.5005,0.22125,0.473,2.4601,0.24166,0.54887,2.4875,0.24536,0.62946,2.4945,0.2596,0.73938,2.4848,0.26662,1.0605,2.477,0.27522,1.3934,2.4847,0.28268,1.9102,2.504,0.29482
83,13560,6.908587,45.05463,0.37632,2.4452,0.20352,0.49321,2.4293,0.22608,0.5809,2.4656,0.23068,0.68072,2.4576,0.24243,0.78221,2.464,0.24706,0.91148,2.4574,0.25401,1.2574,2.477,0.26594,1.5928,2.5089,0.27474,2.0926,2.5386,0.28906
84,16445,6.909268,44.40271,0.30975,2.4498,0.19786,0.39766,2.5204,0.21298,0.4846,2.4674,0.23201,0.56702,2.4905,0.23786,0.6626,2.4757,0.25245,0.7811,2.4695,0.26176,1.1422,2.441,0.28041,1.5266,2.4462,0.29206,2.1559,2.4723,0.30912
85,10897,6.913383,45.65669,0.30929,2.4442,0.19985,0.39024,2.5123,0.22006,0.4657,2.4794,0.24,0.54097,2.5014,0.24345,0.62198,2.5014,0.25715,0.73419,2.4701,0.2654,1.051,2.4478,0.27584,1.38,2.4588,0.28363,1.8867,2.4756,0.29538
86,13782,6.914064,45.00478,0.37592,2.4497,0.20348,0.49114,2.4345,0.22606,0.5777,2.4705,0.23076,0.67557,2.4641,0.24271,0.77607,2.4682,0.24757,0.9033,2.4622,0.25461,1.2458,2.4793,0.26673,1.5801,2.5088,0.27533,2.0783,2.537,0.29012
87,16667,6.91466,44.35287,0.30066,2.46,0.19529,0.38537,2.5406,0.21067,0.4644,2.5075,0.23084,0.54558,2.5238,0.23683,0.63247,2.5258,0.2524,0.75021,2.5063,0.26266,1.1008,2.4834,0.282,1.4869,2.4825,0.29469,2.1406,2.4887,0.31101
88,11119,6.918914,45.60684,0.30934,2.4512,0.19926,0.38966,2.5205,0.21924,0.4656,2.4835,0.23807,0.54302,2.4975,0.2415,0.62386,2.4993,0.25522,0.73501,2.4697,0.2635,1.0491,2.444,0.27524,1.3755,2.4503,0.2833,1.8782,2.4622,0.29437
89,14004,6.919594,44.95493,0.37479,2.4538,0.20337,0.4883,2.4396,0.226,0.574,2.474,0.23082,0.66981,2.4698,0.24296,0.76944,2.4712,0.24808,0.89456,2.467,0.25518,1.2333,2.4819,0.26756,1.5662,2.5085,0.27597,2.0622,2.5344,0.29101
